,User,Date,Count
0,Harene M,2021-04-08,1
1,Akshara_AS,2021-04-02,2
2,Akshara_AS,2021-05-09,1
3,anajessica,2021-04-07,-1
4,anajessica,2021-06-10,1
5,viruksha,2021-04-13,1
6,Regina Sharon,2020-10-17,1
7,simbu,2021-04-01,0
8,simbu,2021-04-07,1
9,Divya Mani,2021-04-08,1
10,Fab,2020-12-13,1
11,Fab,2020-12-18,1
12,Harish M,2021-04-08,2
13,JackArokiason,2021-01-11,1
14,JackArokiason,2021-02-11,1
15,hatwar,2020-12-28,2
16,hatwar,2021-01-02,1
17,shruthi,2021-04-07,1
18,shruthi,2021-04-22,1
19,shruthi,2021-05-07,1
20,yaganarun,2020-09-06,0
21,yaganarun,2020-09-07,0
22,yaganarun,2020-09-08,0
23,yaganarun,2020-09-11,0
24,yaganarun,2020-09-12,0
25,yaganarun,2020-09-14,2
26,yaganarun,2020-09-17,0
27,yaganarun,2020-09-20,0
28,yaganarun,2020-09-23,0
29,yaganarun,2020-10-10,0
30,yaganarun,2020-11-11,1
31,yaganarun,2021-01-15,0
32,ajesh,2021-04-29,1
33,ajesh,2021-04-30,1
34,ajesh,2021-07-27,1
35,Richard,2021-04-02,2
36,Richard,2021-04-13,2
37,Sanjana V,2021-04-21,1
38,Sanjana V,2021-05-26,1
39,Sanjana V,2021-05-28,0
40,Sanjana V,2021-05-31,1
41,Sanjana V,2021-07-02,0
42,Hilda24,2020-12-11,1
43,Hilda24,2020-12-12,0
44,Hilda24,2020-12-13,1
45,Hilda24,2021-01-24,2
46,Hilda24,2021-02-25,1
47,M Aadhavan,2020-11-24,2
48,M Aadhavan,2020-12-26,1
49,M Aadhavan,2021-01-30,1
50,pri6401,2021-03-24,1
51,pri6401,2021-03-25,3
52,pri6401,2021-03-26,1
53,pri6401,2021-03-27,1
54,saiman2k,2020-10-16,1
55,saiman2k,2020-11-26,1
56,saiman2k,2020-12-27,2
57,bhavana2002,2021-04-07,-7
58,bhavana2002,2021-04-08,4
59,bhavana2002,2021-04-09,1
60,ishita,2021-04-08,2
61,ishita,2021-04-09,2
62,ishita,2021-04-10,2
63,ishita,2021-04-11,1
64,Atul,2020-12-09,1
65,Atul,2020-12-13,0
66,Atul,2020-12-20,1
67,Atul,2021-01-04,2
68,Atul,2021-01-16,1
69,Atul,2021-01-19,1
70,Atul,2021-03-15,0
71,tactadmin,2020-09-06,6
72,tactadmin,2020-09-07,0
73,tactadmin,2020-09-11,0
74,tactadmin,2020-09-12,2
75,tactadmin,2020-09-19,0
76,Vignesh J M,2020-09-06,10
77,Talha,2021-05-04,-1
78,Talha,2021-05-06,2
79,Talha,2021-05-10,3
80,Talha,2021-05-18,1
81,Talha,2021-05-25,1
82,Talha,2021-06-17,1
83,Talha,2021-06-18,1
84,Talha,2021-07-09,2
85,maximinjoshua,2020-12-18,2
86,maximinjoshua,2020-12-19,8
87,maximinjoshua,2020-12-21,3
88,maximinjoshua,2020-12-22,1
89,maximinjoshua,2020-12-26,1
90,Hari Prasad,2020-12-01,2
91,Hari Prasad,2020-12-11,1
92,Hari Prasad,2020-12-19,1
93,Hari Prasad,2020-12-24,1
94,Hari Prasad,2020-12-26,1
95,Hari Prasad,2020-12-28,1
96,Hari Prasad,2021-03-25,1
97,Hari Prasad,2021-03-29,1
98,Hari Prasad,2021-03-30,1
99,Hari Prasad,2021-05-09,3
100,Hari Prasad,2021-05-10,1
101,Hari Prasad,2021-05-15,1
102,lakshmi,2021-04-07,-2
103,lakshmi,2021-04-08,3
